epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,39815.1,0.96261,1.7092,1.49631,0.98595,0.807,0.66991,0.73767,0.56986,0.78721,0.64985,0.70561,0.47004,0.84149,1.54457,1.26187,0.9445,0.00127623,0.00127623,0.00127623
64,40441.6,0.96187,1.70513,1.49294,0.98456,0.80719,0.66879,0.73783,0.57042,0.78543,0.65084,0.70606,0.46989,0.84096,1.54329,1.26024,0.94422,0.0012562,0.0012562,0.0012562
65,41066.5,0.95817,1.70649,1.48628,0.9848,0.80658,0.66891,0.73814,0.57081,0.80305,0.64134,0.70636,0.46983,0.83998,1.54248,1.25882,0.94363,0.00123607,0.00123607,0.00123607
66,41688.2,0.95833,1.69354,1.48065,0.98438,0.81123,0.66574,0.73866,0.5708,0.8039,0.64252,0.70647,0.47019,0.83944,1.54127,1.25742,0.94325,0.00121583,0.00121583,0.00121583
67,42312.3,0.9535,1.69217,1.46884,0.98256,0.81139,0.6677,0.73895,0.57092,0.79531,0.64573,0.70687,0.47086,0.83905,1.5402,1.2564,0.94285,0.00119551,0.00119551,0.00119551
68,42934.3,0.95304,1.69864,1.47687,0.98405,0.81724,0.66555,0.73964,0.57129,0.79687,0.64471,0.70719,0.47098,0.83835,1.53919,1.25518,0.94254,0.0011751,0.0011751,0.0011751
69,43560,0.95391,1.69387,1.4748,0.98362,0.8176,0.66601,0.7401,0.57176,0.79894,0.6422,0.70676,0.47131,0.83756,1.53825,1.25394,0.94207,0.00115462,0.00115462,0.00115462
70,44185.5,0.94967,1.69146,1.45793,0.98032,0.81697,0.6693,0.74055,0.57214,0.79258,0.64746,0.70656,0.4715,0.83695,1.53729,1.25293,0.94169,0.00113408,0.00113408,0.00113408
71,44814.2,0.94766,1.67066,1.4523,0.97985,0.8122,0.67021,0.74092,0.57272,0.79271,0.64794,0.70704,0.47155,0.83631,1.53594,1.25218,0.94118,0.00111348,0.00111348,0.00111348
72,45436.7,0.9465,1.67844,1.4507,0.97709,0.81599,0.66906,0.74141,0.57313,0.7922,0.64863,0.70759,0.4716,0.83594,1.53512,1.25133,0.94102,0.00109284,0.00109284,0.00109284
