epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,25184.5,0.46106,1.01239,0.85082,0.94138,0.89932,0.89613,0.9342,0.83663,0.90447,0.9006,0.93705,0.74523,0.45858,0.97999,0.81781,0.92576,0.00037895,0.00037895,0.00037895
110,25411.2,0.46056,1.00674,0.84924,0.94288,0.90276,0.89425,0.93442,0.83699,0.9079,0.89841,0.93704,0.74595,0.45837,0.9795,0.81744,0.92475,0.000363114,0.000363114,0.000363114
111,25637.8,0.46031,1.01537,0.86335,0.94431,0.90349,0.89439,0.93417,0.83687,0.90934,0.89775,0.93675,0.74633,0.45776,0.97939,0.81633,0.92433,0.000347561,0.000347561,0.000347561
112,25864.1,0.45828,1.0138,0.857,0.9412,0.90338,0.89778,0.93407,0.83681,0.90951,0.89985,0.93661,0.74625,0.45752,0.97865,0.81644,0.92417,0.000332298,0.000332298,0.000332298
113,26090.7,0.45668,1.0127,0.85529,0.93984,0.90809,0.89051,0.93482,0.83713,0.91214,0.89448,0.93665,0.74607,0.45786,0.97854,0.81552,0.92474,0.000317333,0.000317333,0.000317333
114,26316.6,0.46494,1.0313,0.871,0.9438,0.91328,0.89177,0.9354,0.83843,0.91502,0.89533,0.93711,0.74729,0.45811,0.97895,0.81387,0.92502,0.000302672,0.000302672,0.000302672
115,26543.3,0.45804,1.00231,0.84055,0.94164,0.91016,0.89261,0.93533,0.83792,0.91329,0.89567,0.93699,0.74683,0.4583,0.97891,0.81425,0.92512,0.000288321,0.000288321,0.000288321
116,26769.4,0.45911,1.01056,0.85153,0.94222,0.91288,0.89084,0.9351,0.8374,0.91356,0.89607,0.93716,0.74716,0.45759,0.97954,0.81423,0.92472,0.000274287,0.000274287,0.000274287
117,27002.5,0.45646,1.01361,0.84578,0.94361,0.91691,0.8892,0.93533,0.83734,0.91618,0.89484,0.93741,0.74724,0.45725,0.97976,0.81443,0.92468,0.000260575,0.000260575,0.000260575
118,27230,0.45764,1.02005,0.85288,0.94183,0.917,0.88901,0.93594,0.83772,0.92046,0.89255,0.93693,0.74772,0.45677,0.97997,0.81431,0.92449,0.000247192,0.000247192,0.000247192
119,27457.9,0.45909,1.01336,0.85051,0.94112,0.91452,0.889,0.93527,0.83741,0.91888,0.89322,0.93692,0.74834,0.45679,0.98014,0.81413,0.9245,0.000234143,0.000234143,0.000234143
120,27687.6,0.45769,1.01909,0.84412,0.94217,0.91254,0.88933,0.93535,0.83752,0.91563,0.89281,0.93683,0.74835,0.45697,0.98042,0.81388,0.92477,0.000221435,0.000221435,0.000221435
121,27919,0.45447,1.01017,0.82871,0.93937,0.91285,0.89086,0.9364,0.83761,0.91562,0.89463,0.93781,0.7485,0.45709,0.98074,0.81393,0.92495,0.000209073,0.000209073,0.000209073
122,28161.1,0.44944,0.9903,0.81503,0.93491,0.91421,0.8873,0.9358,0.83796,0.91401,0.89526,0.93808,0.749,0.45696,0.98073,0.8129,0.92473,0.000197062,0.000197062,0.000197062
123,28407.8,0.45376,1.00317,0.83981,0.94018,0.91326,0.88823,0.93638,0.83851,0.91337,0.89536,0.93811,0.74893,0.45674,0.98103,0.81212,0.92446,0.000185408,0.000185408,0.000185408
124,28666.1,0.45017,0.98259,0.82161,0.93716,0.91134,0.88994,0.93664,0.83803,0.91392,0.8946,0.93817,0.74894,0.45665,0.98098,0.81227,0.92428,0.000174115,0.000174115,0.000174115
